Person,Text,Predicted Category,Predicted Quality,Predicted Sentiment,Predicted Thank Customer,Predicted Introduce Self,Predicted Ask Reason,Predicted Ask Accurate Details,Predicted Ask Permission,Predicted Resolve Issue,Predicted Offer Assistance,Predicted Thank Again,Predicted Farewell
A,Thank you for calling Triple-A bank.,Problem Investigation,Positive,0.67,2,0,0,0,0,0,0,0,0
A,My name is Maria.,Greetings,Positive,0.83,0,0,1,0,0,0,0,0,0
A,May I have your name?,Account Verification,Positive,0.84,1,0,0,0,1,1,0,0,0
C,James breed; ,Account Verification,Positive,0.79,1,0,0,0,0,0,0,0,0
A,Oh hello Mr. Breed.,Greetings,Positive,0.8,0,0,0,0,0,0,0,0,0
A,How can I make you smile today?,Problem Investigation,Positive,0.83,0,0,0,1,0,0,0,0,0
C,Why do I have fees on my bank account?,Problem Investigation,Negative,0.16,2,0,0,0,0,0,0,0,0
C,I want those removed.,Problem Investigation,Negative,0.18,2,0,0,0,0,0,0,0,0
C, Very ridiculous.,Problem Investigation,Neutral,0.41,2,0,0,0,0,0,0,0,0
C,I can't even afford them.,Problem Investigation,Negative,0.17,2,0,0,0,0,0,0,0,0
A,Oh. I understand that fees are really costly.,Problem Investigation,Negative,0.52,2,0,0,0,0,0,0,0,0
A,Let me check your account to see what really happened.,Problem Investigation,Positive,0.57,2,0,0,0,0,0,0,0,0
C,Ok.,Problem Investigation,Neutral,0.43,2,0,0,0,0,0,0,0,0
C,And remove the fees.,Problem Investigation,Neutral,0.48,2,0,0,0,0,0,0,0,0
A,I'll see what I can do Mr. Breed.,Problem Investigation,Neutral,0.64,2,0,0,0,0,0,0,0,0
A,"As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m.",Problem Investigation,Neutral,0.6,2,0,0,0,0,0,0,0,0
C,I made a payment.,Problem Investigation,Neutral,0.33,2,0,0,0,0,0,0,0,0
C,I did my best to look for funds so I could pay on my due date.,Problem Investigation,Negative,0.37,2,0,0,0,0,0,0,0,0
C,It's just that it was done after 4 p.m.,Problem Investigation,Neutral,0.76,2,0,0,0,0,0,0,0,0
A,I truly understand what you're going through Mr. Breed.,Problem Investigation,Positive,0.74,2,0,0,0,0,0,0,0,0
A,"However, the fees charged were valid and therefore, the fees can no longer be refunded or removed.",Problem Investigation,Negative,0.36,2,0,0,0,0,0,0,0,0
C,Like I said I really did my best. Can you please remove even just one fee?,Problem Investigation,Neutral,0.47,2,0,0,0,0,0,0,0,0
C,I really can't afford it.,Problem Investigation,Negative,0.23,2,0,0,0,0,0,0,0,0
C,Maybe you can make a consideration?,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
C,Please. Besides I made a payment on the due date itself.,Problem Investigation,Neutral,0.44,2,0,0,0,0,0,0,0,0
A,"I understand your concern sir and as much as I want to remove the fees, they really can no longer be removed.",Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,"However, since you requested, okay, I will send a request to the management and it's up to them to decide whatever course of action they will do after reviewing your account but this doesn't guarantee that the fees will be refunded.",Problem Investigation,Neutral,0.55,2,0,0,0,0,0,0,0,0
C,Okay I understand that it's worth trying though.,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
C,Thank you for doing that.,Closure,Positive,0.72,3,0,0,0,0,0,0,0,0
A,You're welcome Mr. Breed.,Closure,Positive,0.79,3,0,0,0,0,0,0,0,0
A,I have already submitted a request and you will receive an email or text message after three days for the decision.,Problem Investigation,Positive,0.64,2,0,0,0,0,0,0,0,0
C,Thanks for trying.,Closure,Positive,0.69,2,0,0,0,0,0,0,0,0
A,Thank you for calling Shapes Reward.,Problem Investigation,Positive,0.76,3,1,0,0,0,0,0,0,0
A,My name is Mathilda.,Greetings,Positive,0.81,0,0,1,0,0,0,0,0,0
A,Can I have your name please?,Account Verification,Positive,0.83,1,0,0,0,1,1,0,0,0
C,This is ELISA Collins,Account Verification,Positive,0.77,0,0,0,0,0,0,0,0,0
A,Hi Miss Collins.,Greetings,Positive,0.85,0,0,0,0,0,0,0,0,0
A,How can I be of service?,Problem Investigation,Neutral,0.73,2,0,0,1,0,0,0,0,0
C,I wanted to pay my bills using my rewards points but I can't log into your website.,Problem Investigation,Negative,0.51,2,0,0,0,0,0,0,0,0
C,What's happening?,Problem Investigation,Neutral,0.42,2,0,0,0,0,0,0,0,0
A,Oh I'm so sorry for the inconvenience for the website.,Problem Investigation,Positive,0.84,2,0,0,0,0,0,0,0,0
A,May I know what error message you got?,Problem Investigation,Positive,0.71,2,0,0,0,0,0,1,0,0
C,Error message?,Problem Investigation,Neutral,0.58,2,0,0,0,0,0,1,0,0
C,Where do I get that error message?,Problem Investigation,Neutral,0.38,2,0,0,0,0,0,1,0,0
A,You mentioned you were trying to log in.,Problem Investigation,Neutral,0.67,2,0,0,0,0,0,0,0,0
A,"When you logged into shapes rewards website, can you please tell me what happened after?",Problem Investigation,Positive,0.75,2,0,0,0,0,0,0,0,0
C,"Oh I just entered my username and my password and then when I clicked log in, the computer the screen.",Problem Investigation,Neutral,0.73,2,0,0,0,0,0,1,0,0
C,"What I'm seeing, it's the same.",Problem Investigation,Neutral,0.33,2,0,0,0,0,0,0,0,0
C,It's loading and then it goes back to the login page so I can't get in and I need to use my rewards because I've saved them for so long now.,Problem Investigation,Neutral,0.55,2,0,0,0,0,0,0,0,0
A,I understand Miss Collins.,Problem Investigation,Positive,0.76,2,0,0,0,0,0,0,0,0
A,Alright this what actually happened.,Problem Investigation,Neutral,0.59,2,0,0,0,0,0,0,0,0
A,When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.,Problem Investigation,Neutral,0.66,2,0,0,0,0,0,1,0,0
C,But what looping?,Problem Investigation,Neutral,0.56,2,0,0,0,0,0,0,0,0
C,Is your website down?,Problem Investigation,Neutral,0.61,2,0,0,0,0,0,0,0,0
A,Our website is actually up and running.,Problem Investigation,Positive,0.57,2,0,0,0,0,0,0,0,0
A,"However, your browser has an issue.",Problem Investigation,Positive,0.43,2,0,0,0,0,0,0,0,0
A,Looping is when the browser page goes back to the same page again and again even though you've already taken action.,Problem Investigation,Neutral,0.51,2,0,0,0,0,0,1,0,0
A,"Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?",Problem Investigation,Neutral,0.68,2,0,0,0,0,0,1,0,0
A,It just keeps going back to the login page but don't worry you've got the right person on the line to help you.,Problem Investigation,Positive,0.73,2,0,0,0,0,0,0,0,0
A,We just need to do quick troubleshooting on your browser.,Problem Investigation,Positive,0.74,2,0,0,0,0,0,1,0,0
C,Okay.,Problem Investigation,Neutral,0.55,2,0,0,0,0,0,0,0,0
A,Great!,Problem Investigation,Neutral,0.63,2,0,0,0,0,0,0,0,0
A,Are you using Mac or PC?,Problem Investigation,Neutral,0.71,2,0,0,0,0,0,1,0,0
C,Windows.,Problem Investigation,Neutral,0.66,2,0,0,0,0,0,0,0,0
A,Ok Windows PC is good.,Problem Investigation,Positive,0.8,2,0,0,0,0,0,1,0,0
A,May I know what browser you're using?,Problem Investigation,Positive,0.71,2,0,0,0,0,0,1,0,0
C,I'm not really sure.;,Problem Investigation,Neutral,0.73,2,0,0,0,0,0,0,0,0
A,Is it Google Chrome or Firefox?,Problem Investigation,Neutral,0.57,2,0,0,0,0,0,1,0,0
C,Oh it's Chrome.,Problem Investigation,Neutral,0.57,2,0,0,0,0,0,0,0,0
A,"Oh ok, that's great.",Problem Investigation,Positive,0.81,2,0,0,0,0,0,0,0,0
A,May I know the chrome version?,Account Verification,Positive,0.76,2,0,0,0,0,0,1,0,0
C,I am really sorry honey but I don't have any idea.,Problem Investigation,Neutral,0.64,2,0,0,0,0,0,0,0,0
C,My granddaughter just gifted me this computer last Christmas and she's not here right now.,Problem Investigation,Negative,0.59,2,0,0,0,0,0,0,0,0
A,Oh that's ok Miss Collins.,Problem Investigation,Positive,0.82,2,0,0,0,0,0,0,0,0
A,I'll just give you instructions and we'll get through this.,Problem Investigation,Positive,0.59,2,0,0,0,0,0,0,0,0
C,Thank you honey.,Problem Investigation,Positive,0.78,1,0,0,0,0,0,0,0,0
C,So you said version?,Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,"Yes, can you please close the Chrome browser and open it again after?",Problem Investigation,Positive,0.81,2,0,0,0,0,0,1,0,0
C,"Yes, done.",Problem Investigation,Neutral,0.54,2,0,0,0,0,0,0,0,0
A,That's good. ,Problem Investigation,Positive,0.61,2,0,0,0,0,0,0,0,0
A,"Now that you have the browser open, do you see 3 dots that are aligned vertically on the upper right part of your screen?",Problem Investigation,Neutral,0.75,2,0,0,0,0,0,1,0,0
C,Yes,Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,Please click that and you will see a drop-down box.,Problem Investigation,Positive,0.61,2,0,0,0,0,0,1,0,0
A,Then look for the word help or about Google Chrome.,Problem Investigation,Positive,0.75,2,0,0,0,0,0,0,0,0
C,I do see help that about Google Chrome.,Problem Investigation,Positive,0.61,2,0,0,0,0,0,0,0,0
C,I clicked it.,Problem Investigation,Positive,0.42,2,0,0,0,0,0,0,0,0
C,Oh it's version 68 and a couple random numbers.,Problem Investigation,Positive,0.82,2,0,0,0,0,0,0,0,0
A,Wow thank you.,Problem Investigation,Positive,0.83,2,0,0,0,0,0,0,0,0
A,Looks like you have the most updated browser versions so far.,Problem Investigation,Positive,0.74,2,0,0,0,0,0,1,0,0
A,"So, the next thing, we will do is clear cache from your browser.",Problem Investigation,Positive,0.61,2,0,0,0,0,0,1,0,0
A,This will not affect your stored files or anything on your computer.,Problem Investigation,Neutral,0.47,2,0,0,0,0,0,1,0,0
A,It's just that most of the time the information that you click out to the Internet gets saved in a cache memory or storage in your browser and this eventually results to latency or what you just experienced.,Problem Investigation,Negative,0.45,2,0,0,0,0,0,1,0,0
C,Oh this is all so new to me.,Problem Investigation,Neutral,0.53,2,0,0,0,0,0,0,0,0
C,But you don't have to worry because once you do this once it's easier to do this again next time if it happens again.,Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,So just click those three dots that you clicked earlier and look for more tools.,Problem Investigation,Positive,0.73,2,0,0,0,0,0,1,0,0
A,Did you see it?,Problem Investigation,Neutral,0.46,2,0,0,0,0,0,0,0,0
C,Ok.,Problem Investigation,Neutral,0.43,2,0,0,0,0,0,0,0,0
A,Then you will see clear browsing data.,Problem Investigation,Positive,0.58,2,0,0,0,0,0,1,0,0
C,Okay I see basic and advanced.,Problem Investigation,Neutral,0.76,2,0,0,0,0,0,0,0,0
A,"Alright, we are on the right track.",Problem Investigation,Positive,0.62,2,0,0,0,0,0,0,0,0
A,We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.,Problem Investigation,Positive,0.76,2,0,0,0,0,0,1,0,0
C,"Ok, done it.",Problem Investigation,Neutral,0.59,2,0,0,0,0,0,0,0,0
A,"Then, if you see the time range you can choose all time. ",Problem Investigation,Neutral,0.74,2,0,0,0,0,0,0,0,0
A,Then just click clear data.,Problem Investigation,Positive,0.69,2,0,0,0,0,0,1,0,0
C,"Okay, it's loading.",Problem Investigation,Positive,0.63,2,0,0,0,0,0,0,0,0
A,Yes yes that's normal.,Problem Investigation,Positive,0.8,2,0,0,0,0,0,0,0,0
A,"So once it's done loading, you will be on the same page.",Problem Investigation,Positive,0.71,2,0,0,0,0,0,0,0,0
A,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again.",Problem Investigation,Positive,0.8,2,0,0,0,0,0,1,0,0
C,Ok I will try again.,Problem Investigation,Neutral,0.71,2,0,0,0,0,0,0,0,0
A,"Ok, let me know what happens.",Problem Investigation,Neutral,0.63,2,0,0,0,0,0,0,0,0
C,"Oh, I can login now.",Problem Investigation,Positive,0.71,2,0,0,0,0,0,0,0,0
C,I'm so happy.,Problem Investigation,Positive,0.5,2,0,0,0,0,0,0,0,0
A,I am so happy for you too Miss Collins and it has been my pleasure to assist you.,Problem Investigation,Positive,0.85,2,0,0,0,0,0,0,0,0
A,Did I address all your concerns today?,Problem Investigation,Positive,0.83,3,0,0,0,0,0,0,1,0
C,"Very much, thank you.",Problem Investigation,Positive,0.74,3,0,0,0,0,0,0,0,0
A,You're welcome.,Closure,Positive,0.75,3,0,0,0,0,0,0,0,0
A,Thanks for calling Shapes Rewards and enjoy your day.,Closure,Positive,0.8,3,0,0,0,0,0,0,0,0
A,Welcome to Grand Number One.,Greetings,Positive,0.84,2,0,0,0,0,0,0,0,0
A,My name Selena.,Greetings,Positive,0.82,0,0,1,0,0,0,0,0,0
A,May I have your name?,Account Verification,Positive,0.84,1,0,0,0,1,1,0,0,0
C,This is Rebecca Portman.,Greetings,Positive,0.84,0,0,1,0,0,0,0,0,0
A,Hello Miss Portman.,Greetings,Positive,0.85,0,0,0,0,0,0,0,0,0
A,How can I provide you an excellent service today?,Problem Investigation,Positive,0.81,2,0,0,1,0,0,0,0,0
C,Yes I just lost my debit card one hour ago.,Problem Investigation,Neutral,0.59,2,0,0,0,0,0,0,0,0
C,I tried looking for it but I couldn't so I thought I'd let you know.,Problem Investigation,Positive,0.75,2,0,0,0,0,0,0,0,0
A,Oh I'm terribly sorry to hear that.,Problem Investigation,Positive,0.83,2,0,0,0,0,0,0,0,0
A,"But rest assured, I'll be here to make sure everything's well taken care of.",Problem Investigation,Positive,0.52,2,0,0,0,0,0,0,0,0
C,Thank you.,Problem Investigation,Positive,0.59,2,0,0,0,0,0,0,0,0
A,"To put your account, can I please have your account number or debit card number?",Account Verification,Positive,0.8,1,0,0,0,1,1,0,0,0
C,I can't memorize my card number though but my account number is 123456785.,Problem Investigation,Positive,0.68,1,0,0,0,0,0,0,0,0
A,Oh yes.,Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,"Sorry yeah, I should have asked for your account number.",Problem Investigation,Positive,0.78,2,0,0,0,0,0,0,0,0
A,And for additional security can I also have your birthdate and residential address please?,Account Verification,Positive,0.82,1,0,0,0,1,1,0,0,0
C,July 25 1985.,Account Verification,Neutral,0.56,1,0,0,0,0,0,0,0,0
C,"Unit 888, Silver Lane Avenue, New York, New York, 10012.;",Account Verification,Positive,0.76,1,0,0,0,0,0,0,0,0
A,"Thank you so much, appreciate it.",Problem Investigation,Positive,0.75,3,0,0,0,0,0,0,0,0
A,I already have your account information here.,Problem Investigation,Positive,0.61,1,0,0,0,1,0,0,0,0
A,Let me check your transactions for you real quick.,Problem Investigation,Positive,0.6,2,0,0,0,0,0,0,0,0
A,"I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents.",Problem Investigation,Neutral,0.58,2,0,0,0,0,0,0,0,0
A,"Yes, This just posted today.",Problem Investigation,Positive,0.82,2,0,0,0,0,0,0,0,0
A,Is this valid?,Problem Investigation,Neutral,0.5,2,0,0,0,0,0,1,0,0
C,"Oh yes, that's mine.",Problem Investigation,Positive,0.59,2,0,0,0,0,0,0,0,0
C,I did that yesterday and it just posted recently here.,Problem Investigation,Neutral,0.73,2,0,0,0,0,0,0,0,0
A,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost.",Problem Investigation,Positive,0.78,2,0,0,0,0,0,0,0,0
A,Would you like a replacement over the phone?,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
A,It's free of charge.,Problem Investigation,Positive,0.69,2,0,0,0,0,0,0,0,0
C,"Sure, how long will it take?",Problem Investigation,Neutral,0.42,2,0,0,0,0,0,0,0,0
A,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal.",Problem Investigation,Positive,0.68,2,0,0,0,0,0,0,0,0
A,Just bring two valid IDs.,Problem Investigation,Neutral,0.39,2,0,0,0,0,0,0,0,0
C,That's fair enough.,Problem Investigation,Positive,0.54,2,0,0,0,0,0,0,0,0
A,Just a couple of reminders Miss Portman.,Problem Investigation,Positive,0.76,2,0,0,0,0,0,0,0,0
A,Your new debit card will have a new card number but the account number and PIN will remain the same.,Problem Investigation,Positive,0.58,2,0,0,0,0,0,0,0,0
A,Just call us right away once you receive it so that we can activate it for you and everything's good.,Problem Investigation,Positive,0.69,2,0,0,0,0,0,0,0,0
A,The replacement has been processed and have I address all your concerns?,Problem Investigation,Positive,0.73,3,0,0,0,0,0,0,1,0
C,"Yes yes, you did.",Problem Investigation,Positive,0.78,3,0,0,0,0,0,0,0,0
C,Thanks so much for your help.,Closure,Positive,0.76,3,0,0,0,0,0,0,0,0
A,My pleasure and thank you for calling Grand Number One.,Problem Investigation,Positive,0.84,3,0,0,0,0,0,0,0,0
A,Enjoy the rest of your day.,Problem Investigation,Positive,0.75,3,0,0,0,0,0,0,0,0
A,It's a great day here at our hotel I'm Rebecca.,Problem Investigation,Positive,0.82,0,0,0,0,0,0,0,0,0
A,How can I assist you?,Greetings,Positive,0.8,0,0,0,1,0,0,0,0,0
A,Hi Rebecca.,Problem Investigation,Positive,0.8,0,0,0,0,0,0,0,0,0
C,I'm wondering if you can reserve me a room.,Problem Investigation,Positive,0.69,2,0,0,0,0,0,0,0,0
C,My friends and I are staying for a trip.,Problem Investigation,Positive,0.74,2,0,0,0,0,0,0,0,0
A,I'll be happy to check that for you.,Problem Investigation,Positive,0.73,2,0,0,0,0,0,0,0,0
A,May I have your name?,Account Verification,Positive,0.84,1,0,0,0,1,1,0,0,0
C,Pauline Soupe.,Account Verification,Neutral,0.63,1,0,0,0,0,0,0,0,0
A,Thank You Pauline,Problem Investigation,Positive,0.65,2,0,0,0,0,0,0,0,0
A,How many of your friends are staying?,Problem Investigation,Neutral,0.68,2,0,0,0,0,0,0,0,0
C,"Two, so there are three of us.",Problem Investigation,Neutral,0.56,2,0,0,0,0,0,0,0,0
A,Do you prefer to stay in one room or separate rooms?,Problem Investigation,Neutral,0.58,2,0,0,0,0,0,0,0,0
C,One room.,Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,"Alright, let me check if you have an available room for what days?",Problem Investigation,Neutral,0.67,2,0,0,0,0,0,0,0,0
C,September 5 to 7,Account Verification,Neutral,0.67,2,0,0,0,0,0,0,0,0
A,"Thank you, so, there is one available premium room that is good for three people with three separate beds.",Problem Investigation,Positive,0.8,2,0,0,0,0,0,0,0,0
A,"It comes with free Wi-Fi cable channels, minibar and mini kitchens.",Problem Investigation,Positive,0.62,2,0,0,0,0,0,1,0,0
A,That's 99 dollars per night.,Problem Investigation,Negative,0.37,2,0,0,0,0,0,0,0,0
C,Okay.,Problem Investigation,Neutral,0.55,2,0,0,0,0,0,0,0,0
A,There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.,Problem Investigation,Positive,0.62,2,0,0,0,0,0,0,0,0
A,That costs $150 per night.,Problem Investigation,Positive,0.58,2,0,0,0,0,0,0,0,0
A,Which one you prefer?,Problem Investigation,Neutral,0.6,2,0,0,0,0,0,0,0,0
C,Oh well we're just staying to sleep in so I'll take the premier.,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
C,Does it come with free breakfast?,Problem Investigation,Neutral,0.58,2,0,0,0,0,0,1,0,0
A,Yes there's free breakfast.,Problem Investigation,Positive,0.84,2,0,0,0,0,0,0,0,0
A,Are you going to reserve today?,Problem Investigation,Neutral,0.58,2,0,0,0,0,0,0,0,0
C,"Yes, please.",Problem Investigation,Neutral,0.52,2,0,0,0,0,0,0,0,0
A,May I have the names of the guests?,Account Verification,Neutral,0.78,2,0,0,0,1,1,0,0,0
C,Pauline Sue and my friends Andrea Smith and Alexis Washington,Problem Investigation,Positive,0.64,1,0,0,0,0,0,0,0,0
A,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon.",Problem Investigation,Positive,0.76,2,0,0,0,0,0,0,0,0
A,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents.",Problem Investigation,Neutral,0.52,2,0,0,0,0,0,0,0,0
C,"Thank you, so should I pay now or what?",Problem Investigation,Neutral,0.48,2,0,0,0,0,0,0,0,0
A,"That's right, you should.",Problem Investigation,Positive,0.67,2,0,0,0,0,0,0,0,0
A,"Yes, you should actually pay now.",Problem Investigation,Positive,0.68,2,0,0,0,0,0,0,0,0
A,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents.",Problem Investigation,Positive,0.72,2,0,0,0,0,0,0,0,0
A,This is actually considered booked.,Problem Investigation,Neutral,0.53,2,0,0,0,0,0,0,0,0
A,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days. ",Problem Investigation,Neutral,0.49,2,0,0,0,0,0,0,0,0
A,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited.",Problem Investigation,Neutral,0.51,2,0,0,0,0,0,0,0,0
A,Do you have any other questions Pauline?,Problem Investigation,Positive,0.75,3,0,0,0,0,0,0,0,0
C,"No, that sounds great.",Problem Investigation,Positive,0.81,2,0,0,0,0,0,0,0,0
A,You're welcome.,Closure,Positive,0.75,3,0,0,0,0,0,0,0,0
A,Thanks for calling our hotel.,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
A,We look forward to your enjoyable stay. ,Closure,Positive,0.84,3,0,0,0,0,0,0,0,0
A,Bye.,Closure,Neutral,0.65,3,0,0,0,0,0,0,0,0
A,"Hi, thank you for calling X Y Z.",Greetings,Positive,0.87,0,0,0,0,0,0,0,0,0
A,My name is Ashley. ,Greetings,Positive,0.78,0,0,1,0,0,0,0,0,0
A,How may i help?,Problem Investigation,Positive,0.8,2,0,0,1,0,0,0,0,0
C,You just cut off my internet connection and this is not the first time this happened!,Problem Investigation,Negative,0.22,2,0,0,0,0,0,1,0,0
C,Why are you cheating on me? You're getting my money and you're cutting me off!,Problem Investigation,Negative,0.16,2,0,0,0,0,0,0,0,0
A,Sorry for the inconvenience ma'am.,Problem Investigation,Positive,0.79,2,0,0,0,0,0,0,0,0
A,I understand that is really frustrating.,Problem Investigation,Positive,0.69,2,0,0,0,0,0,0,0,0
A,May I have your account number please?,Account Verification,Positive,0.83,1,0,0,0,1,1,0,0,0
C,"Sorry, you are always sorry, but you're not doing anything!",Problem Investigation,Negative,0.21,2,0,0,0,0,0,0,0,0
C,Never!,Problem Investigation,Neutral,0.32,2,0,0,0,0,0,0,0,0
C,"You have to fix this now, fix this now!",Problem Investigation,Negative,0.48,2,0,0,0,0,0,0,0,0
A,"Yes, yes, ma'am. I will do my best.",Problem Investigation,Positive,0.65,3,0,0,0,0,0,0,0,0
A,May I have your account number so that I can check your account?,Account Verification,Positive,0.8,1,0,0,0,1,1,0,0,0
C,"Five three four zero zero three, six five four eight",Problem Investigation,Neutral,0.62,2,0,0,0,0,0,0,0,0
A,"I'm sorry, you were a bit too fast. .",Problem Investigation,Positive,0.57,2,0,0,0,0,0,0,0,0
A,Can you please?,Problem Investigation,Neutral,0.65,0,0,0,0,0,0,0,0,0
C,Oh my god.,Problem Investigation,Neutral,0.55,2,0,0,0,0,0,0,0,0
C,I can't believe you.,Problem Investigation,Negative,0.37,2,0,0,0,0,0,0,0,0
C,I said five three four zero zero three six five four eight.,Problem Investigation,Neutral,0.59,2,0,0,0,0,0,0,0,0
A,"I'm sorry, is that five three four zero zero three six five",Problem Investigation,Positive,0.72,2,0,0,0,0,0,0,0,0
C,"Four eight, got it?",Problem Investigation,Neutral,0.36,2,0,0,0,0,0,0,0,0
A,"Okay, got it.",Problem Investigation,Positive,0.4,2,0,0,0,0,0,0,0,0
A,Thank you.,Problem Investigation,Positive,0.59,2,0,0,0,0,0,0,0,0
A,"For verification purposes, can I get your name and birth date, please?;",Account Verification,Positive,0.77,1,0,0,0,1,1,0,0,0
