Person,Category,Quality,Text
A,Engagement,Positive,"Alright, we are on the right track."
A,Problem Resolution,Positive,We can just go to the basic part and make sure you check all the checkboxes for the browsing history cookies and cached images.
C,,,"Ok, done it."
A,Problem Resolution,Positive,"Then, if you see the time range you can choose all time. "
A,Problem Resolution,Positive,Then just click clear data.
C,,,"Okay, it's loading."
A,NA,,Yes yes that's normal.
A,Problem Resolution,Positive,"So once it's done loading, you will be on the same page."
A,Problem Resolution,Positive,"So, just press f5 on your keyboard to let it refresh and then you can start logging in again."
C,,,Ok I will try again.
A,Engagement,,"Ok, let me know what happens."
C,,,"Oh, I can login now."
C,,,I'm so happy.
A,Closure,Positive,I am so happy for you too Miss Collins and it has been my pleasure to assist you.
A,Closure,Positive,Did I address all your concerns today?
C,,,"Very much, thank you."
A,Closure,Positive,You're welcome.
A,Closure,Positive,Thanks for calling Shapes Rewards and enjoy your day.
A,Greetings,Positive,Welcome to Grand Number One.
A,Greetings,Positive,My name Selena.
A,Greetings,Positive,May I have your name?
C,,,This is Rebecca Portman.
A,Greetings,Positive,Hello Miss Portman.
A,Greetings,Positive,How can I provide you an excellent service today?
C,,,Yes I just lost my debit card one hour ago.
C,,,I tried looking for it but I couldn't so I thought I'd let you know.
A,Engagement,Positive,Oh I'm terribly sorry to hear that.
A,Engagement,Positive,"But rest assured, I'll be here to make sure everything's well taken care of."
C,,,Thank you.
A,Account Verification,Positive,"To put your account, can I please have your account number or debit card number?"
C,,,I can't memorize my card number though but my account number is 123456785.
A,NA,Positive,Oh yes.
A,Engagement,Positive,"Sorry yeah, I should have asked for your account number."
A,Account Verification,Positive,And for additional security can I also have your birthdate and residential address please?
C,,,July 25 1985.
C,,,"Unit 888, Silver Lane Avenue, New York, New York, 10012.;"
A,Engagement,Positive,"Thank you so much, appreciate it."
A,NA,Positive,I already have your account information here.
A,Problem Investigation,Positive,Let me check your transactions for you real quick.
A,Problem Investigation,Positive,"I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents."
A,Problem Investigation,Positive,"Yes, This just posted today."
A,Problem Investigation,Positive,Is this valid?
C,,,"Oh yes, that's mine."
C,,,I did that yesterday and it just posted recently here.
A,Problem Resolution,Positive,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost."
A,Problem Resolution,Positive,Would you like a replacement over the phone?
A,Problem Resolution,Positive,It's free of charge.
C,,,"Sure, how long will it take?"
A,Problem Resolution,Positive,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal."
A,Problem Resolution,Positive,Just bring two valid IDs.
C,,,That's fair enough.
A,NA,Positive,Just a couple of reminders Miss Portman.
A,Problem Resolution,Positive,Your new debit card will have a new card number but the account number and PIN will remain the same.
A,Problem Resolution,Positive,Just call us right away once you receive it so that we can activate it for you and everything's good.
A,Closure,Positive,The replacement has been processed and have I address all your concerns?
C,,,"Yes yes, you did."
C,,,Thanks so much for your help.
A,Closure,Positive,My pleasure and thank you for calling Grand Number One.
A,Closure,Positive,Enjoy the rest of your day.
A,Greetings,Positive,It's a great day here at our hotel I'm Rebecca.
A,Greetings,Positive,How can I assist you?
A,Greetings,Positive,Hi Rebecca.
C,,,I'm wondering if you can reserve me a room.
C,,,My friends and I are staying for a trip.
A,Problem Investigation,Positive,I'll be happy to check that for you.
A,Account Verification,Positive,May I have your name?
C,,,Pauline Soupe.
A,Engagement,Positive,Thank You Pauline
A,Problem Investigation,Positive,How many of your friends are staying?
C,,,"Two, so there are three of us."
A,Problem Investigation,Positive,Do you prefer to stay in one room or separate rooms?
C,,,One room.
A,Problem Investigation,Positive,"Alright, let me check if you have an available room for what days?"
C,,,September 5 to 7
A,Problem Resolution,Positive,"Thank you, so, there is one available premium room that is good for three people with three separate beds."
A,Problem Resolution,Positive,"It comes with free Wi-Fi cable channels, minibar and mini kitchens."
A,Problem Resolution,Positive,That's 99 dollars per night.
C,,,Okay.
A,Problem Resolution,Positive,There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.
A,Problem Resolution,Positive,That costs $150 per night.
A,Problem Resolution,Positive,Which one you prefer?
C,,,Oh well we're just staying to sleep in so I'll take the premier.
C,,,Does it come with free breakfast?
A,Problem Resolution,Positive,Yes there's free breakfast.
A,Problem Investigation,Positive,Are you going to reserve today?
C,,,"Yes, please."
A,Account Verification,Positive,May I have the names of the guests?
C,,,Pauline Sue and my friends Andrea Smith and Alexis Washington
A,Problem Resolution,Positive,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon."
A,Problem Resolution,Positive,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents."
C,,,"Thank you, so should I pay now or what?"
A,,,"That's right, you should."
A,Problem Resolution,Positive,"Yes, you should actually pay now."
A,Problem Resolution,Positive,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents."
A,Problem Resolution,Positive,This is actually considered booked.
A,Problem Resolution,Positive,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days. "
A,Problem Resolution,Positive,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited."
A,Closure,Positive,Do you have any other questions Pauline?
C,,,"No, that sounds great."
A,Closure,Positive,You're welcome.
A,Closure,Positive,Thanks for calling our hotel.
A,Closure,Positive,We look forward to your enjoyable stay. 
A,Closure,Positive,Bye.
A,Greetings,Positive,"Hi, thank you for calling X Y Z."
A,Greetings,Positive,My name is Ashley. 
A,Greetings,Positive,How may i help?
C,,,You just cut off my internet connection and this is not the first time this happened!
C,,,Why are you cheating on me? You're getting my money and you're cutting me off!
A,,,Sorry for the inconvenience ma'am.
A,Engagement,Positive,I understand that is really frustrating.
A,Account Verification,Positive,May I have your account number please?
C,,,"Sorry, you are always sorry, but you're not doing anything!"
C,,,Never!
C,,,"You have to fix this now, fix this now!"
A,Engagement,Positive,"Yes, yes, ma'am. I will do my best."
A,Account Verification,Positive,May I have your account number so that I can check your account?
C,,,"Five three four zero zero three, six five four eight"
A,NA,,"I'm sorry, you were a bit too fast. ."
A,NA,,Can you please?
C,,,Oh my god.
C,,,I can't believe you.
C,,,I said five three four zero zero three six five four eight.
A,NA,,"I'm sorry, is that five three four zero zero three six five"
C,,,"Four eight, got it?"
A,NA,,"Okay, got it."
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,"For verification purposes, can I get your name and birth date, please?;"
C,,,"Karen America, September 15 1985."
C,,,The account is under my name.
C,,,Hello?
A,NA,,"Hello, I'm still here ma'am."
A,Engagement,Positive,Sorry. I'm still checking some information.
C,,,Why is it taking you so long?
C,,,Don't you guys already know this stuff?
C,,,You keep fooling people.
C,,,You must know what to do already.
A,Problem Investigation,Positive,"Okay, according to our systems data you did pay your last bill last October 20, which was two days ago in one of our affiliated payment centers."
A,Problem Investigation,Positive,"Unfortunately when you pay through that affiliated center, it takes about 2 to 3 business days more to complete the payment processing."
A,Problem Investigation,Positive,So that means that the system considered the payment as still pending and not completed yet.
A,Problem Investigation,Positive,"So the connection has been cut off, but."
C,,,Are you kidding me?
C,,,Why have affiliated payment centers when you can't even process the payment on time?
C,,,So it's my fault?
C,,,You guys told me I could pay at affiliated centers and that's what I did and now I'm at fault.
C,,,"Now, I can't continue with my online job because of you or actually because of me?"
C,,,That's ridiculous!
A,Engagement,Positive,"I am really sorry, Miss America."
A,Engagement,Positive,I understand your situation is very tough right now.
C,,,"Really, huh?"
A,Account Verification,Positive,"But, what I can do is to open a ticket or submit a report so that the other department assigned can manually complete your payment and reconnect your internet."
A,Account Verification,Positive,I just need the payment ID number ma'am and which center did you make the payment?
C,,,Why do you have to ask for that? 
C,,,You just said so yourself you've seen my payment as pending?
A,NA,,"Yeah, and just want to verify it."
C,,,"At the Strawberry Mall, my payment ID. Hold on a second. One one one two eight five six nine seven four."
A,Engagement,Positive,"Thanks so much for your patience, Miss America."
A,Problem Resolution,Positive,I'm going to submit the report
C,,,"Please just stay on the line for a minute, Ma'am."
A,Problem Resolution,Positive,"I'm done with the report, please expect to have your connection reinstated within 24 hours."
A,Problem Resolution,,We will send you a text message as well to your phone number and file.
C,,,Within 24 hours?
C,,,Can you make it faster than that?
A,Problem Resolution,Positive,"As much as I'd love to that has been a turnaround time for reconnection since then, so to give enough time for the team to manually complete the payment."
C,,,"Okay fine, as if I have a choice."
A,Engagement,Positive,"Again, I'm really sorry."
A,Closure,Positive,Is there anything else?
C,,,"Nothing, just make sure you reconnect my line as soon as possible."
A,Closure,Positive,"Bye, yes, ma'am. "
A,Closure,Positive,Thank you for calling XYZ.
C,,,Hello.
A,Greetings,Positive,Hello.
A,Greetings,Positive,Good morning. 
A,Greetings,Positive,My name is Kate.
A,Greetings,Positive,"Calling from deluxe credit card, may I speak with miss Anastasia Robinson?"
C,,,"Yes, this is her."
A,Greetings,Positive,"Hi, good morning Miss Robinson."
A,Greetings,Positive,I'm calling because deluxe credit card actually has a good news for you.
A,Greetings,Positive,Do you have 5 to 7 minutes to talk?
C,,,"Okay, go ahead"
C,,,Thank you.
A,Problem Investigation,Positive,So we are well aware that you have been a valued customer of deluxe for 8 years now. 
A,Problem Resolution,Positive,"And, we would like to reward you with a platinum MasterCard that has amazing benefits and free annual fee for life."
A,Engagement,Positive,How does that sound to you?
C,,,Thank you. Appreciate it.
C,,,So what do I get from that platinum?
A,NA,,Yes ma'am.
A,Problem Resolution,Positive,The Platinum MasterCard is a highly prestigious card for highly career oriented individuals like you.
A,Problem Resolution,Positive,"This card has non-expiring rewards points, free travel insurance up to $20,000, repurchase protection up to $1000, free access to the sky view lounges in different airports locally and abroad, up to five supplementary card. holders with free annual membership fees for life."
A,Problem Resolution,Positive,"And as mentioned, your annual fee will automatically be waived as well."
A,Problem Resolution,Positive,Of course it also has a higher credit limit than your usual plastic or regular credit cards.
A,Engagement,Positive,Ok that sounds good?
C,,,Sounds great.
A,Account Verification,Positive,"Since you are already pre-approved, I just need to confirm your building address, phone number and email address."
C,,,"Ok, my building address is apartment 152, Emerald Building, Rock Street Los Angeles, California."
C,,,Email is annarobinson@aol.com.
C,,,And my phone is 2138970362.
A,Account Verification,Positive,"Got it, thank you so much."
A,Account Verification,Positive,I'll have this submitted and please expect your card in 10 business days and don't hesitate to call our toll-free number for any assistance.
A,Account Verification,Positive,"Welcome, thank you so much, bye."
C,,,"Thank you, bye."
A,Greetings,Positive,Thanks for calling quick Internet.
A,Greetings,Positive,My name is Anna.
A,Greetings,Positive,Can I have your phone number or your account number please?
C,,,Your who?
C,,,What?
C,,,"Can you speak a little slower, would you?"
A,NA,,Anything for you.
A,Greetings,Positive,"So, I would say my name is Anna."
A,Account Verification,Positive,Can I have your account or phone number please?
C,,,My account is 4 5 6 7 8 9 1 5 6 0.
C,,,I just want to say Anna that I thought you are quick Internet but look at what you did.
C,,,Why can't I access my internet today?
C,,,I can't play my games.
A,Engagement,Positive,Oh that's very inconvenient.
A,Engagement,Positive,"I understand how you feel, your friends online might already be waiting for you but don't you worry, you've got the right person on the line to help you."
A,Account Verification,Positive,May I know the name of the account?
C,,,What? What's that?
C,,,"I feel like you're under water, are you?"
A,NA,,"Oh no, I'm sorry about that it could be my phone connection."
A,NA,,Let me fix it in 3 seconds here.
A,NA,,Can you hear me ok now?
C,,,"Yeah, a lot better."
A,Account Verification,Positive,Sounds great so I was saying may I know the name on the account?
C,,,My name?
A,Account Verification,Positive,"Yes, if the account is under your name."
C,,,"Yes, it's Anjoe Jones."
A,Engagement,Positive,Thank You Mr. Jones.
C,,,What did you say?
A,Engagement,Positive,Oh I just said thank you Mr. Jones.
A,,,"So, you mentioned you don't have internet today. "
A,Problem Investigation,Positive,"Shows here that you don't have a DSL signal, that's why.you cannot connect"
A,Problem Investigation,Positive,We can actually fix this over the phone and I'd be glad to walk you through.
A,Problem Investigation,Positive,Would that be fine?
C,,,I already did everything before I called.
A,,,That's great.
A,Problem Investigation,Positive,"Let me ask, can you please check your modem now and tell me which lights are on?"
C,,,Seriously!
C,,,"Okay, I have to go back to my brother's room."
A,NA,,Please check.
C,,,"Okay., the rest of the of the lights are green but the DSL was red."
A,Problem Investigation,Positive,"Alright, clearly, there is something wrong with your signal which is highly likely connected to your cell phone service."
A,Problem Resolution,Positive,Can you please check again your telephone cord is connected to your modem?
C,,,"Wow, so I have to go back again?"
A,Problem Resolution,Positive,"Don't worry, that's the last thing we have to check if the cord is indeed not connected tightly plug it back into your modem and everything should be good so that we do not have to call a technician to check out what's wrong with the modem."
C,,,"Okay fine, just don't hang up!"
A,NA,,Of course! I won't.
C,,,I just found out the cord was disconnected.
C,,,Probably my brother.
C,,,I can see the DSL light is green.
A,NA,,Oh that's good to know.
A,Problem Resolution,Positive,Can you try accessing some website?
C,,,Okay I can access my online games now and Facebook too.
C,,,"Yeah, I think you solved it."
A,Closure,Positive,My pleasure to assist you.
A,Closure,Positive,Have I addressed your concerns?
C,,,You sure did.
C,,,I'll tell my brother.
C,,,Thank you.
A,Closure,Positive,Thanks for calling Quick Internet.
A,Closure,Positive,Once again this is Anna.
A,Closure,Positive,Have a wonderful day.
A,Greetings,Positive,Thank you for calling Sprites.
A,Greetings,Positive,My name is Rhea.
A,Greetings,Positive,How can I help you today?
C,,,"Hi, my name is Francis and I have a question about my bill."
A,Greetings,Positive,Oh hi Francis.
A,Greetings,Positive,I'll be glad to answer any questions that you have about your bill.
A,Account Verification,Positive,May I have the account number or the phone number of the account?
C,,,Ok the account number is 1 2 3 4 5.
A,Engagement,Positive,Great! Thank you. 
A,Problem Investigation,Positive,"So, may I know what your question is?"
C,,,"Oh it's like this, last month, my bill was $25 but for this month it shows that I need to pay $35."
C,,,What's going on?
A,Engagement,Positive,Oh I see.
A,Problem Investigation,Positive,"I understand sometimes looking at your bill can be quite confusing. So, let me check your account and let's go through this together ok?"
A,Problem Investigation,Positive,By the way do you have a copy of your bill right now?
C,,,Um yes.
A,NA,,That's great.
A,Problem Investigation,Positive,Let's go over your bill together and see the difference.
A,Problem Investigation,Positive,"Upon checking your account., yes, you're right."
A,Problem Investigation,Positive,The bill last month was $25 however this billing period there is an additional charge of 10 dollars for a data usage that totals to 3 gigs.
C,,,Ok. I really thought that my plan included data.
A,Problem Resolution,Positive,"Well, no, it does not."
A,Problem Resolution,Positive,But I will be happy to add a data to your plan.
A,Problem Resolution,Positive,For only five dollars more you get 10 gigs of data and it's more value for your money considering the current situation.
A,Engagement,Positive,How does that sound to you?
C,,,Um okay that sounds good.
A,Problem Resolution,Positive,"That's good, so I'll add the data plan to your account right away and since you are a valued customer, I will also take care of the $10 charge for you."
C,,,I mean that's great.
A,Problem Resolution,Positive,So let me just process the reversal real quick okay and it's done so let me just recap everything we have talked about the $10 charge.
A,Problem Resolution,Positive,I have added a data plan of 10 gigs to your account so that's going to be $5 more in addition to the $25 that you are already paying every month and the $10 charge for this billing period was already reversed.
C,,,"It's strictly appreciated, thank you."
A,Problem Resolution,Positive,You're welcome and just to let you know you can also check your data usage by texting data to 777.
A,Closure,Positive,"So, have I addressed all your concerns today?"
C,,,Yes you have.
A,Closure,Positive,Well it's been my pleasure to assist you Francis.
A,Closure,Positive,"Once again, my name is Rhea."
A,Closure,Positive,Thank you for calling Sprite and hope you have a great day
C,,,"Do the same, bye bye."
A,Greetings,Positive,Thank you for calling Life Member Services.
A,Greetings,Positive,This is Raya.
A,Greetings,Positive,How can I help you today?
C,,,I have a question about something I received in a mail.
A,Engagement,Positive,"Sure, I'll be glad to assist you with that mail."
A,Problem Investigation,Positive,Can you please tell me more about the mail you received?
C,,,"Well you see it's like this: a couple weeks ago, I was involved in an accident and I was rushed to hospital but I feel better now anyways."
C,,,I was under the impression that my insurance or you guys will cover the whole bill but this paperwork says something else.
A,Engagement,Positive,I am sincerely glad to know that you're all good now.
A,Problem Investigation,Positive,I will be happy to check your account so that I can help you better.
A,Account Verification,Positive,May I have your complete name and member ID?
C,,,"Peter Porter, ID Number is 6757897."
A,,,Thank you Peter.
A,Account Verification,Positive,How about your date of birth and address?
C,,,It's May 12 85. 
C,,,"321, First Street, LA."
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"Let me check your account real quick, ok?"
C,,,Ok.
A,Problem Investigation,Positive,"I've been checking here Peter, it shows that a claim for $1000 was paid last week that was August 12 and that it says that it actually covers your entire bill."
A,Problem Resolution,Positive,"By the way that letter that you received, on the topmost right part, does it say this is not a bill?"
C,,,Oh well!
C,,,"Now that you mention it, it does say this is not a bill."
A,Problem Resolution,Positive,"Ok, that's good to know because what you have there is an EOB or an explanation of benefits."
A,Problem Resolution,Positive,It should show the breakdown of the charges and the amount that we your insurance paid for.
A,Problem Resolution,Positive,"So you see every time a claim is processed, you will get that information for transparency see and I truly apologize for the confusion that this letter has cost you."
C,,,Ah see.
C,,,That's good because you know I still have some medicine to buy and the last thing that I want right now is to pay another bill.
A,Problem Resolution,Positive,I know I understand I'm glad to clear things up for you and again no need to worry about the hospital bill we took care of it for you.
A,Engagement,Positive,"Just take care of yourself, okay?"
C,,,"Well, okay."
C,,,Thank you so much.
A,Closure,Positive,Have I addressed your concerns today?
C,,,Yes. you have. Oh I'm just happy everything is paid for.
A,Closure,Positive,"Yes, it is."
A,Closure,Positive,"Well Peter, if there's nothing else, thank you so much for choosing Life Member Services."
A,Closure,Positive,You take care and I'm wishing for your speedy recovery
C,,,Thank you.
A,Greetings,Positive,Great day here at Amazing Flowers.
A,Greetings,Positive,This is Rael.
A,Greetings,Positive,Would you like to place an order?
C,,,"Yeah, I'd like to place an order for a bouquet of red and white roses."
A,Engagement,Positive,I'll be happy to order the bouquet for you.
A,Account Verification,Positive,Can I have your name please?
C,,,Amanda Bynes
A,Engagement,Positive,Thank You Amanda.
A,Problem Investigation,Positive,"So, just to confirm your order is a bouquet of red and white roses that's going to be $45."
A,Problem Resolution,Positive,Would you like to add a pack of Hardy chocolates?
A,Problem Resolution,Positive,You only need to add seven dollars more for that.
C,,,Okay sounds good.
C,,,"Yes sure, I'll get that."
C,,,Will it be delivered by tomorrow?
A,Problem Resolution,Positive,"Since it's already after the cutoff of orders, the package will be delivered the next day, Wednesday."
C,,,"Okay, that's fine!"
A,Engagement,Positive,Perfect.
A,Account Verification,Positive,Can I please have the name and a shipping address for the order?
C,,,Diana Ross.
C,,,"Her address is seven eight nine, North Henderson Road, Philadelphia PA and the zip code is one nine four zero six."
A,Engagement,Positive,Thank you.
A,Problem Resolution,Positive,"Would you like to charge that on Visa, Mastercard or American Express?"
C,,,"Visa, the number is 4293465436245682."
A,Account Verification,Positive,"Thank you, and, the expiration date and CVV code please."
C,,,Expiration date is January 2020 and the CVV code is  458.
A,Account Verification,Positive,"Alright and, can I have the billing address of your card please?"
C,,,"Sure, it's 3421, 4th avenue, Sacramento California 94235."
A,Engagement,Positive,Thank You Amanda.
A,Account Verification,Positive,"All I need now, is the email address for the order and your mobile number and we're all set."
C,,,That's missamandabynes@gmail.com.
C,,,My number is 3103450984.
A,Problem Resolution,Positive,Let me repeat that.
A,Problem Resolution,Positive,That's miss Amanda Bynes.
A,Problem Resolution,Positive,That's M I S S A M A N D A B Y N E S.
A,Problem Resolution,Positive,"So that's Miss Amanda Bynes, your first name and your last name @ gmail.com and number is 3 1 0 3 4 5 0 9 8 4."
A,Problem Resolution,Positive,Is that right?
C,,,That's right.
A,Problem Resolution,Positive,Right so your order has been processed.
A,Problem Resolution,Positive,That's one bouquet of red and white roses with one pack of hardy chocolates.
A,Problem Resolution,Positive,That's a total of $52.
A,Problem Resolution,Positive,It will be delivered this on Wednesday and you will receive an electronic receipt to your email address and a notification to your mobile.
A,Problem Resolution,Positive,"And, today is the last day of free shipping, so it's good that you will not have to pay a delivery fee at all."
A,Closure,Positive,Do you have any questions for me?
C,,,No more.
C,,,Thank you.
A,Closure,Positive,My pleasure.
A,Closure,Positive,Thank you so much for your order Amanda.
A,Closure,Positive,Have a great evening.
A,Greetings,Positive,"Hello, Good Morning."
A,Greetings,Positive,Thank you for calling PLDC customer service.
A,Greetings,Positive,This is Christine speaking.
A,Greetings,Positive,How may I help you?
C,,,You just got off my internet connection and this is not the first time this happened.
C,,,How is that you're getting my money and you're cutting me off?
A,Engagement,Positive,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
A,Problem Investigation,Positive,"I understand that it is very frustrating and to work out on your problem about the abrupt disconnection, is that right sir?"
C,,,"Yes,you just disconnected me."
C,,,That's what I said.
,,,"Okay sir, so I'll check our system to see what I can do."
A,Account Verification,Positive,"But first, give me your account number sir."
C,,,"Okay, my account number is 4451147619."
A,Account Verification,Positive,"Okay sir, I got it and for verification you will need your name and your birthday"
C,,,"I am Matthew Sobremonte and I am born on November 1, 1999."
C,,,"And, yes I am the account holder."
A,Problem Investigation,Positive,"Thank you, just a minute sir,  I'll just look at our data."
A,Problem Investigation,Positive,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers."
A,Problem Investigation,Positive,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet."
A,Problem Investigation,Positive,"So, the connection has been cut off. But."
C,,,Are you kidding me?
C,,,I need it as soon as possible.
